Endothelial	InnateLymphoid	Leydig	Macrophage	Myoid	Sertoli	Unknown
1500004A13Rik	0.00960243980653519	0.1187690080394	0.0316746131262745	0	0	0.0237181675451696	0.0221068029549611
1500009L16Rik	0.0982342562585587	0.0918719911916333	1.13716109397333	0.477816891492019	0.627886479183884	0.815431879624716	0.934062862182397
1500011B03Rik	0.392775144769442	0.178383644948433	0.552733812051946	0.205213487631744	0.328587689021482	0.9634827333392	0.21012139248042
1500011K16Rik	0.403296631866842	0.243992163262222	1.12184910540725	0.607919562826	0.650496801057268	0.619248136021898	0.767380043133834
1500012F01Rik	0.867337487203452	0.596465943060096	0.474119689303347	0.946088683513194	0.511616179381738	0.573700427839309	1.1871342971821
1500015A07Rik	0.140316526056152	0.0564407444275546	0.0382348004248057	0.110848349458481	0.265408063282428	0.183116409551755	0.0918066696195789
1500015L24Rik	0	0	0	0	0	0.0103326477063064	0
1500015O10Rik	0	0	0	0	0	0	0.0278485833094038
1500017E21Rik	0	0	0	0.0116962449651498	0	0.0164392542587465	0.00038950813600424
1500026H17Rik	0	0	0.0840952109663866	0.0615876576251277	0	0.0122345231514329	0.0551159603214743
1500035N22Rik	0	0	0.00124238249252984	0	0	0.00792468188538853	0.00373589939050135
1520401A03Rik	0	0	0.00692795098151725	0	0	0.00726107266996478	0.00184329714668142
1600002H07Rik	0.0318314051943564	0	0.149845900035903	0.0262969721493819	0.111267756335116	0.051592734891288	0.0746911552792664
1600002K03Rik	0.0399114379000152	0.104252306884549	0.146398747001061	0.0724391084411473	0	0.380353461547295	0.0996639287810747
1600010M07Rik	0	0	0.0190373883331705	0.0859721056014609	0	0	0.00133848581044014
1600012H06Rik	0.234375751620477	0.204566974588725	0.224616787806154	0.443008383205356	0.213281667643391	0.26306084111409	0.224363744288004
1600014C10Rik	0.138581255282224	0.19883833115395	0.252541410937585	0.0486861009273975	0	0.064786002263792	0.222195679428519
1600014C23Rik	0	0	0	0	0	0.0100006928931924	0.0053653522421265
1600014K23Rik	0	0	0.0196118556117117	0	0.0684406620565912	0.0544227802668794	0.0178851477978342
1600017P15Rik	0	0	0	0	0	0.0322065007126008	0.00230062597951578
1600020E01Rik	0.330195015654645	0.396474864300532	0.208881315252999	0.147611747603391	0.137363455437743	0.282812851854268	0.202140074108502
1600025M17Rik	0.0754351799077532	0	0.00304701409209751	0	0	0.0224516752459267	0.00713261847580107
1600029O15Rik	0	0	0.00301928220748002	0	0	0.12187935482672	0.0246177027470559
1700001C02Rik	0.151680205491232	0.0641984062558663	0.059823597114432	0.145667194238246	0.109065371687096	0.412269304749571	0.11817534895947
1700001C19Rik	0.289838569228784	0.253828251913209	0.117509234423417	0.521405114813305	0.14476009411258	0.959721935987153	0.229261753669581
1700001F09Rik	0.0187102497860927	0	0.0285151935414698	0.0512533255632282	0	0.0673604074183366	0.0253480773802104
1700001G01Rik	0	0	0.0229842024509502	0.134201827299915	0	0.141608669332818	0.0671960276798377
1700001G11Rik	0.0679185483202601	0.0676042623364095	0.141223276708441	0.0784542670486447	0	0.166581911730593	0.0807744929298659
1700001G17Rik	0	0	0.00665296840048804	0	0	0.0325720797300491	0.0248667940857861
1700001J03Rik	0.0534276351689102	0.0765507963273982	0.0782070312520299	0.309628727572589	0	0.291626110288495	0.151458714332757
1700001J04Rik	0	0	0	0	0	0.0119911734920173	0.0102761029677882
1700001J11Rik	0.108732514513002	0.0876787313532632	0.0749047694708337	0.0459329324890296	0.347252659272791	0.307078789361577	0.113250401047317
1700001K19Rik	0.140831939499675	0.255201779775273	0.0864069809869083	0.184988166373803	0.237614330630109	0.869287058443246	0.13483929893136
1700001L05Rik	0.169714845724228	0.0706628290336195	0.14773357728531	0.182136384738732	0	0.451571016653493	0.122678742085273
1700001L19Rik	0.161584034927846	0.116822943520875	0.100287919824534	0.164443024850901	0	0.294810165039992	0.160159797282388
1700001O22Rik	0.190305422467793	0.186806377325563	0.026074317965538	0.386972268477269	0.402877314618314	0.933373351511536	0.177825542666024
1700001P01Rik	0.0328702875104083	0	0.0401999247290544	0.105839978766736	0.201978596629487	0.235145412878035	0.100948457466394
1700003C15Rik	0	0	0.0120001632038325	0	0	0.00516045745905038	0.00342374846061424
1700003E16Rik	0.142823178251172	0.257454850651695	0.0404646581927096	0.377248715624221	0.0684406620565912	0.659906912138096	0.220608623582802
1700003E24Rik	0.0254647774733899	0	0.00213082488113803	0.0329059721123475	0	0.226931551820066	0.0210571511259831
1700003F12Rik	0.417746570220869	0.3754704218538	0.179200485294545	0.417618297242195	0.17064728907329	1.27191982937278	0.282415140909814
1700003G13Rik	0	0	0	0	0	0.0395905854000774	0.00694778492259069
1700003G18Rik	0.096422268871796	0	0.0133174834129625	0.0205148444582992	0	0.0164021686818751	0.0079250362953534
1700003H04Rik	0.136928002933975	0.233843365478278	0.0942794094648444	0.214682887210807	0.527805936551064	0.345001855918501	0.142157615922789
1700003I22Rik	0.0121187457571168	0.0556366495214918	0.00304701409209751	0.279544812814241	0.11555653999421	0.175967905162769	0.0629902347343278
1700003L19Rik	0	0.0375092728072026	0.0030276061882603	0.0311468217985806	0	0.0391249083239545	0.00838620329941363
1700003M02Rik	0.317296651011886	0.4060371734875	0.158985262105651	0.62193730004519	0.419228644593696	0.685726933600033	0.370174808785218
1700003M07Rik	0	0	0.00885651247410275	0	0	0	0.00675096847899521
1700003N22Rik	0	0	0.0088787347648035	0	0	0.00474608462449739	0.00322011126606869
1700003P14Rik	0.0585740709507322	0.191296904780416	0.0802994840790105	0.222869966582097	0.178079551386743	0.32821720487966	0.1247209751542
1700006A11Rik	0	0	0.00522368412247191	0.0432277793714482	0	0.0579224373051623	0.0423638919178164
1700006E09Rik	0.0823482573402583	0.24432165076552	0.0348413917845988	0.141793337204634	0	0.362452585154129	0.100728015331162
1700006F04Rik	0.0471954856897769	0	0.0290351780740789	0	0	0.065668656497686	0.00903656515813036
1700006H21Rik	0.0536809082340914	0	0.00357235210265691	0	0	0.0074482081084668	0.0128538389960229
