V1	V2	V3	V4	V5	V6
1110002O04Rik	0	0	0	0	0	0
1110004E09Rik	1.48872176751223	1.43206317306858	1.15307189116406	1.37132654595858	1.04843568287535	1.05142501372848
1110004F10Rik	1.9018151949053	2.14209525652269	1.81974551065594	1.73528688501617	1.61633345064512	2.55331289200592
1110007C09Rik	0.727202209126779	0.320673317503378	0.340208856393743	0.649604397277013	0.914337478191814	0.593784258218503
1110008E08Rik	0	0	0	0	0	0
1110008F13Rik	1.36736662768594	1.32284606828888	1.73660135051565	1.28656075959765	0.89437318533731	0.849119840533471
1110008L16Rik	0.216592647546836	0.256916557540369	0.183483033413086	0.0816491758355911	0.124468755153092	0.0680767855043456
1110008P14Rik	1.10453816277578	1.50663668658765	2.22989630800036	1.31004559399235	0.781447502825349	0.328704818917306
1110012L19Rik	0.062266500622665	0.165373117794076	0.280339833567628	0.0852790345970766	0.151126223496468	0.0491824672390997
1110015O18Rik	0	0	0	0	0	0
1110017D15Rik	0	0.0533513544668606	0.0629034046219838	0.0655055128115624	0.0725942331026932	0.0816860664714545
1110018N20Rik	0.206953642384106	0	0.0334244027578629	0.00814237320275921	0	0
1110019D14Rik	0.062266500622665	0.0933373062035151	0.0592813491624922	0.0558953835165207	0.0306401103310796	0.0912842693232216
1110020A21Rik	0	0	0.0261585888306869	0.0216959582429205	0.0378199340734643	0.00947604125110278
1110025L11Rik	0	0	0	0	0	0
1110025M09Rik	0	0	0.00426786849843583	0.0069583385955375	0.0071246841093183	0.0154863727662843
1110028F11Rik	0	0	0	0	0	0
1110028F18Rik	0	0	0	0.00577263551406185	0	0
1110032A03Rik	0.306520963592161	0.340432703773944	0.334985972774511	0.260174456418122	0.59168400170349	0.472508005338956
1110032F04Rik	0	0	0.0161576891084003	0.00787338959657539	0	0
1110034G24Rik	0	0.0180370300226365	0.0387912594200798	0.0333070325061207	0.0302286815366132	0.0529413230917898
1110035H17Rik	0	0	0.0519304339104257	0.00217546850345823	0.0175043979799925	0
1110036E04Rik	0	0	0	0	0	0
1110037F02Rik	0.57811716123283	0.986777864315724	0.766707951191734	0.85907948814521	0.833289468603346	0.745907007841055
1110038B12Rik	0.927036280093449	0.54147900919882	0.848458217602359	0.529524005934829	0.281748416234369	0.19042493092056
1110038F14Rik	0.615870608389035	0.989384123131684	0.714296844404759	0.870603708833685	0.853819532059678	0.816079607297344
1110046J04Rik	0	0	0.0390757674486249	0.0176946373255549	0	0.0209050638336124
1110051M20Rik	0.0897988505747126	0.511977983846536	0.310851893181768	0.242629449751628	0.270922478029736	0.126987949756935
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	0.120320154444814	0.478132655372873	0.25408912556578	0.21149575431044	0.244038856745388	0.230808795599662
1110059G10Rik	0.717626489360377	0.590253098595145	0.826713529510976	0.944430119362516	0.513182659376727	0.967538013209821
1110065P20Rik	1.23865416820891	0.823400867730657	1.23591550181338	1.20846793580467	1.12137285850398	0.783528739371056
1190002F15Rik	0	0	0.0234345997347136	0	0	0
1190002N15Rik	0.221892390121565	0.310874175701319	0.300819945150474	0.218553978996861	0.0984959570305469	0.153733919750821
1190003K10Rik	0	0	0.00683779385419088	0	0	0.0161939123844564
1190005I06Rik	0.0197800458897065	0.0539677213737018	0.0704493161727421	0.0447165853291543	0.0593862058484249	0.0420413296447567
